Date,Year,Month,Streamflow,Precipitation,,,,,,,,
01/02/1977,1977,2,14.2,24.4,,,,,,,,
01/03/1977,1977,3,14.8,34.0,,,,,,,,
01/04/1977,1977,4,81.3,45.3,,,,,,,,
01/05/1977,1977,5,460.0,64.3,,,,,,,,
01/06/1977,1977,6,101.0,75.6,,,,,,,,
01/07/1977,1977,7,46.4,79.7,,,,,,,,
01/08/1977,1977,8,31.1,68.5,,,,,,,,
01/09/1977,1977,9,28.4,54.8,,,,,,,,
01/10/1977,1977,10,30.6,45.8,,,,,,,,
01/11/1977,1977,11,29.5,48.1,,,,,,,,
01/12/1977,1977,12,30.1,40.1,,,,,,,,
01/01/1978,1978,1,23.2,26.2,,,,,,,,
01/02/1978,1978,2,20.6,15.7,,,,,,,,
01/03/1978,1978,3,17.9,60.8,,,,,,,,
01/04/1978,1978,4,18.7,17.8,,,,,,,,
01/05/1978,1978,5,454.0,37.7,,,,,,,,
01/06/1978,1978,6,356.0,60.6,,,,,,,,
01/07/1978,1978,7,61.3,177.5,,,,,,,,
01/08/1978,1978,8,78.4,90.6,,,,,,,,
01/09/1978,1978,9,119.0,74.0,,,,,,,,
01/10/1978,1978,10,137.0,53.6,,,,,,,,
01/11/1978,1978,11,136.0,45.5,,,,,,,,
01/12/1978,1978,12,67.3,35.2,,,,,,,,
01/01/1979,1979,1,26.5,52.0,,,,,,,,
01/02/1979,1979,2,18.5,34.7,,,,,,,,
01/03/1979,1979,3,17.2,35.5,,,,,,,,
01/04/1979,1979,4,19.6,49.1,,,,,,,,
01/05/1979,1979,5,498.0,151.8,,,,,,,,
01/06/1979,1979,6,691.0,138.3,,,,,,,,
01/07/1979,1979,7,352.0,154.9,,,,,,,,
01/08/1979,1979,8,230.0,51.5,,,,,,,,
01/09/1979,1979,9,144.0,76.7,,,,,,,,
01/10/1979,1979,10,110.0,44.0,,,,,,,,
01/11/1979,1979,11,120.0,62.3,,,,,,,,
01/12/1979,1979,12,73.2,36.7,,,,,,,,
01/01/1980,1980,1,33.2,14.4,,,,,,,,
01/02/1980,1980,2,23.0,18.5,,,,,,,,
01/03/1980,1980,3,20.0,20.9,,,,,,,,
01/04/1980,1980,4,42.6,49.7,,,,,,,,
01/05/1980,1980,5,512.0,56.2,,,,,,,,
01/06/1980,1980,6,333.0,147.4,,,,,,,,
01/07/1980,1980,7,155.0,110.6,,,,,,,,
01/08/1980,1980,8,128.0,82.0,,,,,,,,
01/09/1980,1980,9,211.0,10.5,,,,,,,,
01/10/1980,1980,10,111.0,46.6,,,,,,,,
01/11/1980,1980,11,69.9,40.3,,,,,,,,
01/12/1980,1980,12,37.6,19.8,,,,,,,,
01/01/1981,1981,1,27.6,23.1,,,,,,,,
01/02/1981,1981,2,22.4,58.0,,,,,,,,
01/03/1981,1981,3,18.6,60.3,,,,,,,,
01/04/1981,1981,4,40.0,79.9,,,,,,,,
01/05/1981,1981,5,563.0,51.3,,,,,,,,
01/06/1981,1981,6,479.0,72.0,,,,,,,,
01/07/1981,1981,7,127.0,12.0,,,,,,,,
01/08/1981,1981,8,39.7,77.6,,,,,,,,
01/09/1981,1981,9,27.2,43.3,,,,,,,,
01/10/1981,1981,10,28.1,27.1,,,,,,,,
01/11/1981,1981,11,24.1,37.8,,,,,,,,
01/12/1981,1981,12,19.5,31.1,,,,,,,,
01/01/1982,1982,1,17.5,38.0,,,,,,,,
01/02/1982,1982,2,15.0,6.2,,,,,,,,
01/03/1982,1982,3,14.3,47.6,,,,,,,,
01/04/1982,1982,4,27.1,81.2,,,,,,,,
01/05/1982,1982,5,393.0,47.5,,,,,,,,
01/06/1982,1982,6,160.0,61.7,,,,,,,,
01/07/1982,1982,7,47.4,110.0,,,,,,,,
01/08/1982,1982,8,32.8,41.0,,,,,,,,
01/09/1982,1982,9,42.2,67.3,,,,,,,,
01/10/1982,1982,10,41.9,39.4,,,,,,,,
01/11/1982,1982,11,52.4,39.3,,,,,,,,
01/12/1982,1982,12,29.2,40.5,,,,,,,,
01/01/1983,1983,1,23.4,28.8,,,,,,,,
01/02/1983,1983,2,18.8,33.6,,,,,,,,
01/03/1983,1983,3,16.2,39.2,,,,,,,,
01/04/1983,1983,4,22.1,58.4,,,,,,,,
01/05/1983,1983,5,466.0,32.5,,,,,,,,
01/06/1983,1983,6,507.0,37.9,,,,,,,,
01/07/1983,1983,7,83.2,69.4,,,,,,,,
01/08/1983,1983,8,38.1,109.2,,,,,,,,
01/09/1983,1983,9,88.9,68.7,,,,,,,,
01/10/1983,1983,10,231.0,59.5,,,,,,,,
01/11/1983,1983,11,138.0,50.4,,,,,,,,
01/12/1983,1983,12,65.0,21.9,,,,,,,,
01/01/1984,1984,1,41.8,12.7,,,,,,,,
01/02/1984,1984,2,33.8,16.4,,,,,,,,
01/03/1984,1984,3,24.1,34.9,,,,,,,,
01/04/1984,1984,4,23.1,30.6,,,,,,,,
01/05/1984,1984,5,374.0,49.5,,,,,,,,
01/06/1984,1984,6,424.0,80.5,,,,,,,,
01/07/1984,1984,7,93.8,75.8,,,,,,,,
01/08/1984,1984,8,58.3,93.8,,,,,,,,
01/09/1984,1984,9,83.0,75.1,,,,,,,,
01/10/1984,1984,10,175.0,34.7,,,,,,,,
01/11/1984,1984,11,179.0,27.3,,,,,,,,
01/12/1984,1984,12,41.3,40.3,,,,,,,,
01/01/1985,1985,1,23.8,5.1,,,,,,,,
01/02/1985,1985,2,19.1,13.5,,,,,,,,
01/03/1985,1985,3,17.1,49.0,,,,,,,,
01/04/1985,1985,4,38.2,40.4,,,,,,,,
01/05/1985,1985,5,390.0,114.6,,,,,,,,
01/06/1985,1985,6,418.0,94.2,,,,,,,,
01/07/1985,1985,7,187.0,27.8,,,,,,,,
01/08/1985,1985,8,132.0,27.4,,,,,,,,
01/09/1985,1985,9,62.6,55.3,,,,,,,,
01/10/1985,1985,10,45.7,32.3,,,,,,,,
01/11/1985,1985,11,39.9,47.5,,,,,,,,
01/12/1985,1985,12,25.2,28.8,,,,,,,,
01/01/1986,1986,1,20.5,40.3,,,,,,,,
01/02/1986,1986,2,17.8,31.1,,,,,,,,
01/03/1986,1986,3,16.4,36.9,,,,,,,,
01/04/1986,1986,4,25.5,32.6,,,,,,,,
01/05/1986,1986,5,426.0,106.6,,,,,,,,
01/06/1986,1986,6,502.0,137.9,,,,,,,,
01/07/1986,1986,7,212.0,64.3,,,,,,,,
01/08/1986,1986,8,181.0,87.4,,,,,,,,
01/09/1986,1986,9,195.0,54.4,,,,,,,,
01/10/1986,1986,10,243.0,17.4,,,,,,,,
01/11/1986,1986,11,141.0,32.1,,,,,,,,
01/12/1986,1986,12,58.8,46.6,,,,,,,,
01/01/1987,1987,1,25.0,20.3,,,,,,,,
01/02/1987,1987,2,20.9,15.8,,,,,,,,
01/03/1987,1987,3,20.7,38.9,,,,,,,,
01/04/1987,1987,4,24.5,22.5,,,,,,,,
01/05/1987,1987,5,485.0,83.9,,,,,,,,
01/06/1987,1987,6,304.0,84.5,,,,,,,,
01/07/1987,1987,7,89.6,112.6,,,,,,,,
01/08/1987,1987,8,107.0,40.3,,,,,,,,
01/09/1987,1987,9,206.0,23.3,,,,,,,,
01/10/1987,1987,10,114.0,32.6,,,,,,,,
01/11/1987,1987,11,46.8,29.7,,,,,,,,
01/12/1987,1987,12,28.7,40.0,,,,,,,,
01/01/1988,1988,1,23.2,15.8,,,,,,,,
01/02/1988,1988,2,20.9,10.5,,,,,,,,
01/03/1988,1988,3,18.5,69.8,,,,,,,,
01/04/1988,1988,4,31.7,17.8,,,,,,,,
01/05/1988,1988,5,543.0,62.1,,,,,,,,
01/06/1988,1988,6,253.0,5.5,,,,,,,,
01/07/1988,1988,7,63.1,22.8,,,,,,,,
01/08/1988,1988,8,25.9,71.0,,,,,,,,
01/09/1988,1988,9,24.2,48.1,,,,,,,,
01/10/1988,1988,10,26.3,62.1,,,,,,,,
01/11/1988,1988,11,21.8,27.6,,,,,,,,
01/12/1988,1988,12,19.7,39.0,,,,,,,,
01/01/1989,1989,1,16.8,23.4,,,,,,,,
01/02/1989,1989,2,15.6,12.4,,,,,,,,
01/03/1989,1989,3,15.7,28.4,,,,,,,,
01/04/1989,1989,4,18.0,27.4,,,,,,,,
01/05/1989,1989,5,258.0,65.4,,,,,,,,
01/06/1989,1989,6,339.0,32.7,,,,,,,,
01/07/1989,1989,7,53.1,80.2,,,,,,,,
01/08/1989,1989,8,20.8,19.8,,,,,,,,
01/09/1989,1989,9,21.1,46.0,,,,,,,,
01/10/1989,1989,10,20.9,68.0,,,,,,,,
01/11/1989,1989,11,20.3,54.3,,,,,,,,
01/12/1989,1989,12,16.5,26.2,,,,,,,,
01/01/1990,1990,1,15.6,29.6,,,,,,,,
01/02/1990,1990,2,14.7,49.0,,,,,,,,
01/03/1990,1990,3,14.1,45.9,,,,,,,,
01/04/1990,1990,4,18.6,109.6,,,,,,,,
01/05/1990,1990,5,603.0,102.1,,,,,,,,
01/06/1990,1990,6,575.0,83.2,,,,,,,,
01/07/1990,1990,7,106.0,73.0,,,,,,,,
01/08/1990,1990,8,40.2,79.7,,,,,,,,
01/09/1990,1990,9,30.4,95.1,,,,,,,,
01/10/1990,1990,10,69.2,68.5,,,,,,,,
01/11/1990,1990,11,69.4,43.9,,,,,,,,
01/12/1990,1990,12,41.2,43.6,,,,,,,,
01/01/1991,1991,1,27.9,17.3,,,,,,,,
01/02/1991,1991,2,22.6,23.3,,,,,,,,
01/03/1991,1991,3,19.3,10.2,,,,,,,,
01/04/1991,1991,4,171.0,33.4,,,,,,,,
01/05/1991,1991,5,575.0,47.9,,,,,,,,
01/06/1991,1991,6,141.0,44.4,,,,,,,,
01/07/1991,1991,7,33.6,94.4,,,,,,,,
01/08/1991,1991,8,56.0,37.7,,,,,,,,
01/09/1991,1991,9,46.9,45.5,,,,,,,,
01/10/1991,1991,10,30.8,24.6,,,,,,,,
01/11/1991,1991,11,21.6,33.2,,,,,,,,
01/12/1991,1991,12,16.5,48.3,,,,,,,,
01/01/1992,1992,1,16.7,20.8,,,,,,,,
01/02/1992,1992,2,18.2,26.8,,,,,,,,
01/03/1992,1992,3,16.2,48.8,,,,,,,,
01/04/1992,1992,4,15.5,37.7,,,,,,,,
01/05/1992,1992,5,250.0,73.0,,,,,,,,
01/06/1992,1992,6,342.0,18.2,,,,,,,,
01/07/1992,1992,7,151.0,73.9,,,,,,,,
01/08/1992,1992,8,67.7,30.4,,,,,,,,
01/09/1992,1992,9,152.0,77.3,,,,,,,,
01/10/1992,1992,10,95.7,50.2,,,,,,,,
01/11/1992,1992,11,70.6,49.4,,,,,,,,
01/12/1992,1992,12,27.4,49.1,,,,,,,,
01/01/1993,1993,1,21.5,28.0,,,,,,,,
01/02/1993,1993,2,19.3,15.9,,,,,,,,
01/03/1993,1993,3,18.4,24.0,,,,,,,,
01/04/1993,1993,4,20.7,69.5,,,,,,,,
01/05/1993,1993,5,482.0,88.1,,,,,,,,
01/06/1993,1993,6,477.0,32.9,,,,,,,,
01/07/1993,1993,7,164.0,85.3,,,,,,,,
01/08/1993,1993,8,46.5,79.0,,,,,,,,
01/09/1993,1993,9,67.8,43.9,,,,,,,,
01/10/1993,1993,10,108.0,16.6,,,,,,,,
01/11/1993,1993,11,57.3,28.8,,,,,,,,
01/12/1993,1993,12,22.5,33.4,,,,,,,,
01/01/1994,1994,1,16.5,19.6,,,,,,,,
01/02/1994,1994,2,14.8,24.9,,,,,,,,
01/03/1994,1994,3,14.2,24.7,,,,,,,,
01/04/1994,1994,4,28.7,80.3,,,,,,,,
01/05/1994,1994,5,418.0,58.5,,,,,,,,
01/06/1994,1994,6,312.0,65.2,,,,,,,,
01/07/1994,1994,7,138.0,23.7,,,,,,,,
01/08/1994,1994,8,114.0,95.3,,,,,,,,
01/09/1994,1994,9,89.2,32.9,,,,,,,,
01/10/1994,1994,10,114.0,65.1,,,,,,,,
01/11/1994,1994,11,61.9,23.3,,,,,,,,
01/12/1994,1994,12,31.5,15.9,,,,,,,,
01/01/1995,1995,1,20.8,31.9,,,,,,,,
01/02/1995,1995,2,16.5,27.1,,,,,,,,
01/03/1995,1995,3,18.2,23.1,,,,,,,,
01/04/1995,1995,4,268.0,87.8,,,,,,,,
01/05/1995,1995,5,314.0,49.8,,,,,,,,
01/06/1995,1995,6,155.0,56.4,,,,,,,,
01/07/1995,1995,7,62.5,73.2,,,,,,,,
01/08/1995,1995,8,24.6,38.0,,,,,,,,
01/09/1995,1995,9,25.1,71.1,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
